,Id,District,Address,Number,Area,Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached
529,557,Moratalaz,Piso en calle de la Cañada,,Vinateros,725,3.0,75,1.0,1.0,0.0,0,0,0,0
1455,1523,Chamartín,Piso en calle del general zabala,,Prosperidad,1600,4.0,110,1.0,,1.0,0,0,0,0
382,403,Moncloa,Piso en calle guisando,34,Ciudad Universitaria,3100,4.0,300,4.0,1.0,1.0,0,0,0,0
585,616,Puente Vallecas,Piso en calle Concordia,7,San Diego,600,1.0,50,1.0,0.0,0.0,0,0,0,0
1865,1952,Tetuán,Piso en calle de Sor Átngela de la Cruz,,Cuzco-Castillejos,1850,3.0,160,4.0,1.0,1.0,0,0,0,0
1822,1908,San Blás,Piso en calle de la Pirra,18,Rejas,1000,2.0,87,2.0,1.0,1.0,0,0,0,0
237,247,Hortaleza,Ático en calle Americo Castro,90,Sanchinarro,1550,3.0,120,6.0,1.0,1.0,1,0,0,0
1827,1913,San Blás,Piso en Rejas,,Rejas,720,1.0,60,1.0,1.0,1.0,0,0,0,0
806,850,Salamanca,Piso en calle de Goya,55,Recoletos,2400,4.0,120,3.0,1.0,1.0,0,0,0,0
51,53,Ciudad Lineal,Dúplex en San Juan Bautista,,San Juan Bautista,3200,3.0,330,3.0,1.0,1.0,0,0,1,0
752,793,Salamanca,Piso en Recoletos,,Recoletos,2000,2.0,105,1.0,0.0,1.0,0,0,0,0
1023,1072,Arganzuela,Ático en Acacias,,Acacias,1900,1.0,90,7.0,1.0,1.0,1,0,0,0
1010,1059,Arganzuela,Piso en calle de Las Naves,5,Acacias,1300,3.0,95,2.0,1.0,1.0,0,0,0,0
100,103,Fuencarral,Piso en Mirasierra,,Mirasierra,2100,4.0,195,4.0,1.0,1.0,0,0,0,0
2026,2124,Usera,Piso en calle de Marcelo Usera,167,ZofÁ­o,780,3.0,90,6.0,1.0,1.0,0,0,0,0
